"id","beijian/id","name","jiancezhouqi","jiancebaojing","shiyongshebei/id"
"__export__.wms_beijianext_1","__export__.wms_beijian_1","ZD6动作杆 I","4","True","__export__.wms_shebei_2"
"__export__.wms_beijianext_2","__export__.wms_beijian_2","ZD6表示杆 I","0","False","__export__.wms_shebei_2"
"__export__.wms_beijianext_3","__export__.wms_beijian_2","ZYJ7表示杆 I","0","False","__export__.wms_shebei_3"
"__export__.wms_beijianext_4","__export__.wms_beijian_1","ZYJ7动作杆 I","0","False","__export__.wms_shebei_3"
"__export__.wms_beijianext_5_cde857db","__export__.wms_beijian_3_06a13a88","ZPW.BPLN","0","False","__export__.wms_shebei_9"
"__export__.wms_beijianext_6_0a4b2351","__export__.wms_beijian_4_2862690b","ZPW.CE","0","False","__export__.wms_shebei_9"
"__export__.wms_beijianext_7_cff10e45","__export__.wms_beijian_4_2862690b","ZPW.CE2","0","False","__export__.wms_shebei_9"
"__export__.wms_beijianext_8_6915d155","__export__.wms_beijian_5_7acacfad","ZPW.F-K","0","False","__export__.wms_shebei_9"
"__export__.wms_beijianext_9_95bb77bd","__export__.wms_beijian_6_7e42e95d","ZPW.J-K ","0","False","__export__.wms_shebei_9"
"__export__.wms_beijianext_10_d63bb28b","__export__.wms_beijian_6_7e42e95d","ZPW.J-K(RBC)","0","False","__export__.wms_shebei_9"
"__export__.wms_beijianext_11_4e364b35","__export__.wms_beijian_7_0ed75b0e","ZPW.ML-K","0","False","__export__.wms_shebei_9"
"__export__.wms_beijianext_12_486c751c","__export__.wms_beijian_8_cb2c189c","ZPW.PT-1700","0","False","__export__.wms_shebei_9"
"__export__.wms_beijianext_13_c9bf5ef2","__export__.wms_beijian_8_cb2c189c","ZPW.PT-2000","0","False","__export__.wms_shebei_9"
"__export__.wms_beijianext_14_6f9e2109","__export__.wms_beijian_8_cb2c189c","ZPW.PT-2300","0","False","__export__.wms_shebei_9"
"__export__.wms_beijianext_15_ab424e01","__export__.wms_beijian_8_cb2c189c","ZPW.PT-2600","0","False","__export__.wms_shebei_9"
"__export__.wms_beijianext_16_ec705cf5","__export__.wms_beijian_9_b091bdad","ZPW.RS-K","0","False","__export__.wms_shebei_9"
"__export__.wms_beijianext_17_5a7975e1","__export__.wms_beijian_9_b091bdad","ZPW.RSS-K","0","False","__export__.wms_shebei_9"
"__export__.wms_beijianext_18_c9a3decb","__export__.wms_beijian_10_13149810","ZPW.XKD","0","False","__export__.wms_shebei_9"
"__export__.wms_beijianext_19_1c365a5c","__export__.wms_beijian_10_13149810","ZPW.XKJD-1700","0","False","__export__.wms_shebei_9"
"__export__.wms_beijianext_20_e8186fe2","__export__.wms_beijian_10_13149810","ZPW.XKJD-2000","0","False","__export__.wms_shebei_9"
"__export__.wms_beijianext_21_9953ddc4","__export__.wms_beijian_10_13149810","ZPW.XKJD-2300","0","False","__export__.wms_shebei_9"
"__export__.wms_beijianext_22_bbeae1d0","__export__.wms_beijian_10_13149810","ZPW.XKJD-2600","0","False","__export__.wms_shebei_9"
